Site	UnPlot	UniquePair	Treatment	Time	RealTime	jaccdist	eucdist	Abund	Estar	Hstar	Dstar	Adpalms
ITA	ITAopen10	ITA10	open	72	74	0,408279893	1,071451076	5	0,446134916	0,276077149	1,424155622	5
ITA	ITAclosed12	ITA12	closed	72	74	0,693544388	9,423038769	11	0,755976311	0,843149336	3,179021609	21
ITA	ITAopen12	ITA12	open	72	74	0,484755863	1,9736798	11	0,6600139	0,754552201	2,644135772	21
ITA	ITAclosed14	ITA14	closed	72	74	0,747166675	20,1954358	37	0,349471485	0,423565745	1,663590435	5
ITA	ITAopen14	ITA14	open	72	74	0,732276028	5,525223367	14	0,669147733	0,749134993	2,759425659	5
ITA	ITAclosed15	ITA15	closed	72	74	0,553891698	22,45150663	62	0,387586353	1,20268782	3,703744469	8
ITA	ITAopen15	ITA15	open	72	74	0,5019759	1,753729064	12	0,683570533	0,599262712	2,311619388	8
ITA	ITAclosed2	ITA2	closed	72	74	0,573766477	12,79014532	41	0,460091319	1,536951967	4,676658662	11
ITA	ITAopen2	ITA2	open	72	74	0,52323988	5,843042381	41	0,612041669	1,347293406	4,791753764	11
ITA	ITAclosed4	ITA4	closed	72	74	0,493737055	12,91821167	47	0,462880579	1,061066268	3,520980097	6
ITA	ITAopen4	ITA4	open	72	74	0,665559923	4,50491657	13	0,790208549	1,420283328	5,230029146	6
ITA	ITAclosed6	ITA6	closed	72	74	0,515358117	7,958981785	54	0,515018486	1,756930209	5,829304604	14
ITA	ITAopen6	ITA6	open	72	74	0,544595477	6,390159917	30	0,530855248	1,54389303	4,659078131	14
ITA	ITAclosed8	ITA8	closed	72	74	0,385448871	3,16229114	30	0,426839819	0,707871046	2,315665645	12
ITA	ITAopen8	ITA8	open	72	74	0,586913541	3,487858544	20	0,737998399	1,450239696	5,069050889	12
